BNK_ID,BNK_BHM_DC_CDE,BNK_BHM_DC_NME,BNK_BHM_TLK_CDE,BNK_BHM_TLK_NME,BNK_NME_EN,BNK_BRNCH_CDE,BNK_BRNCH_NME,BNK_IFSC_CDE,BNK_VIFSC_CDE
6460,8,GADAG,3,Gadag,STATE BANK OF INDIA,6460,MULGUND NAKA GADAG,SBIN0009249,SBIN0009249000
6461,23,HASSAN,4,Hassan,STATE BANK OF INDIA,6461,DAIRY CIRCLE HASSAN,SBIN0040872,SBIN0040872000
6462,7,KOPPAL,3,Gangavathi,STATE BANK OF INDIA,6462,MAIN ROAD GANGAVATHI,SBIN0020204,SBIN0020204000
6463,26,MYSORE,4,Mysore,STATE BANK OF INDIA,6463,GOKULAM MYSORE,SBIN0040610,SBIN0040610000
6464,26,MYSORE,4,Mysore,STATE BANK OF INDIA,6464,PBB MYSORE,SBIN0004254,SBIN0004254000
6465,26,MYSORE,4,Mysore,STATE BANK OF INDIA,6465,THONACHIKOPPAL,SBIN0040614,SBIN0040614000
6466,16,UDUPI,2,UDUPI,STATE BANK OF INDIA,6466,MANIPAL,SBIN0004426,SBIN0004426000
6467,10,UTTARA KANNADA,5,Mundgod,STATE BANK OF INDIA,6467,GANESHGUDI,SBIN0040286,SBIN0040286000
6469,2,BAGALKOTE,1,Jamakhandi,CBI,6469,JAMHUB JAMKHANDI ( KARNATAKA ),CBIN0283739,CBIN0283739000
6470,2,BAGALKOTE,4,Badami,CBI,6470,KEREKA KEREKALMATTI,CBIN0281932,CBIN0281932000
6471,2,BAGALKOTE,3,Mudhol,CBI,6471,MUDHOL MUDHOL KARNATAKA,CBIN0283677,CBIN0283677000
6472,2,BAGALKOTE,5,Bagalkote,CBI,6472,NAVANA NAVANAGAR  BAGALKOT(KARNATAKA),CBIN0283375,CBIN0283375000
6473,12,BALLARY,5,BELLARY,CBI,6473,BELBAN BELLARY (KARNATAKA),CBIN0280861,CBIN0280861000
6474,12,BALLARY,3,HOSPET,CBI,6474,HOSPET HOSPET ( KARNATAKA ),CBIN0283737,CBIN0283737000
6475,12,BALLARY,4,SIRUGUPPA,CBI,6475,ITAHUB ITAGIHAL (AGASANUR),CBIN0283053,CBIN0283053000
6476,21,BANGALORE RURAL                                   ,4,Hoskote,CBI,6476,HOSAKO HASAKOTE,CBIN0283831,CBIN0283831000
6477,20,BANGALORE URBAN,1,BANGALORE-NORTH,CBI,6477,KADUGO KADUGODI,CBIN0280854,CBIN0280854000
6478,21,BANGALORE RURAL                                   ,4,Hoskote,CBI,6478,LOKKAN LOKKANDAHALLI,CBIN0280855,CBIN0280855000
6479,21,BANGALORE RURAL                                   ,2,Doddaballapura,CBI,6479,RAJAGH RAJAGHATTA,CBIN0280856,CBIN0280856000
6480,20,BANGALORE URBAN,1,BANGALORE-NORTH,CBI,6480,ABBIGE ABBIGERE BANGALORE,CBIN0283585,CBIN0283585000
6481,20,BANGALORE URBAN,1,BANGALORE-NORTH,CBI,6481,BANNER BANNERGHATTA ROAD(KARNATAKA),CBIN0283547,CBIN0283547000
6482,20,BANGALORE URBAN,5,Bangalore North(Additional),CBI,6482,HESARA HESARAGHATTA,CBIN0280853,CBIN0280853000
6483,20,BANGALORE URBAN,1,BANGALORE-NORTH,CBI,6483,RAJAJI RAJAJINAGARBANGALORE,CBIN0281200,CBIN0281200000
6484,20,BANGALORE URBAN,1,BANGALORE-NORTH,CBI,6484,SARAKK SARAKKI LAYOUTBANGALORE,CBIN0282433,CBIN0282433000
6485,20,BANGALORE URBAN,1,BANGALORE-NORTH,CBI,6485,SUBRAM SUBRAMANYAPURA,CBIN0281240,CBIN0281240000
6486,20,BANGALORE URBAN,1,BANGALORE-NORTH,CBI,6486,XIIHRH IIHR HESARAGATTA,CBIN0283973,CBIN0283973000
6487,1,BELAGAVI,4,Gokak,CBI,6487,GOKBAN GOKAK,CBIN0280872,CBIN0280872000
6488,1,BELAGAVI,8,Savadatti,CBI,6488,MUNVAL MUNAVALLI  BELGAUM KARNATAKA,CBIN0283374,CBIN0283374000
6489,1,BELAGAVI,13,KAGAVADA,CBI,6489,UGARKH UGAR KHURD,CBIN0284371,CBIN0284371000
6490,5,BIDAR                                             ,4,Bidar,CBI,6490,BIDAR BIDAR ( KARNATAKA ),CBIN0283551,CBIN0283551000
6491,3,BIJAPUR                                           ,1,Bijapur,CBI,6491,BIJHUB BIJAPUR (KARNATAKA),CBIN0283678,CBIN0283678000
6492,3,BIJAPUR                                           ,2,Indi,CBI,6492,SALOTG SALOTGI,CBIN0281653,CBIN0281653000
6493,3,BIJAPUR                                           ,5,Muddebihal,CBI,6493,TANGAD TANGADAGI,CBIN0281920,CBIN0281920000
6494,27,CHAMARAJANAGAR                                    ,2,Chamarajanagara,CBI,6494,CHAMAR CHAMARAJANAGARA,CBIN0284484,CBIN0284484000
6495,28,CHIKKABALLAPURA,1,gauribidanur,CBI,6495,ALKAPU ALKAPUR,CBIN0281214,CBIN0281214000
6496,28,CHIKKABALLAPURA,2,chikballapur,CBI,6496,CHIKKA CHIKKA BALLAPUR,CBIN0284482,CBIN0284482000
6497,28,CHIKKABALLAPURA,5,SIDLAGHATTA,CBI,6497,JANGAM JANGAMKOTE,CBIN0280859,CBIN0280859000
6498,17,CHIKMAGALUR                                       ,6,Chikmagalur,CBI,6498,CHIKMA CHIKMAGALUR,CBIN0284480,CBIN0284480000
6499,24,DAKSHINA KANNADA,1,Mangalore,CBI,6499,KAPBAN KAPRIGUDAMANGALORE,CBIN0282778,CBIN0282778000
6500,24,DAKSHINA KANNADA,1,Mangalore,CBI,6500,MANGAL MANGALORE,CBIN0280873,CBIN0280873000
6501,24,DAKSHINA KANNADA,1,Mangalore,CBI,6501,NEPORT NEW MANGALORE PORT AREA,CBIN0281558,CBIN0281558000
6502,14,DAVANAGERE,4,davanagere,CBI,6502,DAVANG DAVANGERE,CBIN0280860,CBIN0280860000
6503,9,DHARWAD                                           ,7,ALNAVARA,CBI,6503,ALNAVA ALNAVAR,CBIN0280867,CBIN0280867000
6504,9,DHARWAD                                           ,1,DHARWAD,CBI,6504,DHARWA DHARWAD (KARNATAKA),CBIN0283371,CBIN0283371000
6505,9,DHARWAD                                           ,3,Hubli,CBI,6505,HUBLI HUBLI DHARWAD(KARNATAKA),CBIN0280862,CBIN0280862000
6506,9,DHARWAD                                           ,4,Kalgatgi,CBI,6506,KALGHA KALGHATGI,CBIN0280865,CBIN0280865000
6507,9,DHARWAD                                           ,3,Hubli,CBI,6507,XNEHRU NEHRU COLLEGE KARNATAKA,CBIN0283665,CBIN0283665000
6508,8,GADAG                                             ,3,Gadag,CBI,6508,GADAG GADAG,CBIN0280863,CBIN0280863000
6509,8,GADAG                                             ,2,ron,CBI,6509,NAREGA NAREGAL,CBIN0280866,CBIN0280866000
6510,4,GULBARGA                                          ,1,Aland,CBI,6510,ALAND ALAND,CBIN0284391,CBIN0284391000
6511,4,GULBARGA                                          ,3,Gulbarga,CBI,6511,GULBUR GULBARGA,CBIN0280870,CBIN0280870000
6512,30,YADGIR,2,Shahapur,CBI,6512,SHAPUR SHAHPUR ( KARNATAKA ),CBIN0283550,CBIN0283550000
6513,30,YADGIR,1,Yadgir,CBI,6513,YADGIR YADGIR,CBIN0284603,CBIN0284603000
6514,23,HASSAN,3,Arsikere,CBI,6514,ARASIK ARASIKERE,CBIN0284487,CBIN0284487000
6515,23,HASSAN,2,Belur,CBI,6515,BELHAS BELURU,CBIN0284485,CBIN0284485000
