BNK_ID,BNK_BHM_DC_CDE,BNK_BHM_DC_NME,BNK_BHM_TLK_CDE,BNK_BHM_TLK_NME,BNK_NME_EN,BNK_BRNCH_CDE,Bnk_Brnch_Nme_Eng
101,21,Bangalore Rural,8,Doddaballapur,BRDCC Bank Ltd.,101,HANABE VYAVASAYA SEVA SAHAKARA BYANK NI  
102,21,Bangalore Rural,8,Doddaballapur,BRDCC Bank Ltd.,102,CHANNADEVI AGRAHARA VYAVASAYA SEVA SAHAKARA BYANK NI   
103,21,Bangalore Rural,8,Doddaballapur,BRDCC Bank Ltd.,103,KODIGEHALLI VYAVASAYA SEVA SAHAKARA BYANK NI   
104,21,Bangalore Rural,8,Doddaballapur,BRDCC Bank Ltd.,104,S S GHATI VYAVASAYA SEVA SAHAKARA BYANK NI   
105,21,Bangalore Rural,8,Doddaballapur,BRDCC Bank Ltd.,105,MACHAGONDANAHALLI VYAVASAYA SEVA SAHAKARA BYANK NI   
106,21,Bangalore Rural,8,Doddaballapur,BRDCC Bank Ltd.,106,KESTURU VYAVASAYA SEVA SAHAKARA BYANK NI  
107,21,Bangalore Rural,7,DEVANHALLI,BRDCC Bank Ltd.,107,AVATI RAITARA SEVA SAHAKARA BYANK NI  
108,21,Bangalore Rural,7,DEVANHALLI,BRDCC Bank Ltd.,108,ARADESHANAHALLI VYAVASAYA SEVA SAHAKARA BYANK NI   
109,21,Bangalore Rural,7,DEVANHALLI,BRDCC Bank Ltd.,109,BOMMAVARA VYAVASAYA SEVA SAHAKARA BYANK NI   
110,21,Bangalore Rural,7,DEVANHALLI,BRDCC Bank Ltd.,110,KASABA DEVANAHALLI VYAVASAYA SEVA SAHAKARA BYANK NI  
111,21,Bangalore Rural,7,DEVANHALLI,BRDCC Bank Ltd.,111,KUNDANA VYAVASAYA SEVA SAHAKARA BYANK NI  
112,21,Bangalore Rural,7,DEVANHALLI,BRDCC Bank Ltd.,112,KARAHALLI VYAVASAYA SEVA SAHAKARA BYANK NI   
113,21,Bangalore Rural,7,DEVANHALLI,BRDCC Bank Ltd.,113,KANNAMANGALA VYAVASAYA SEVA SAHAKARA BYANK NI   
114,21,Bangalore Rural,7,DEVANHALLI,BRDCC Bank Ltd.,114,BIDALURU VYAVASAYA SEVA SAHAKARA BYANK NI   
115,21,Bangalore Rural,7,DEVANHALLI,BRDCC Bank Ltd.,115,VIJAYAPURA VYAVASAYA SEVA SAHAKARA BYANK NI   
116,21,Bangalore Rural,7,DEVANHALLI,BRDCC Bank Ltd.,116,VISHVANATHAPURA VYAVASAYA SEVA SAHAKARA BYANK NI   
117,21,Bangalore Rural,7,DEVANHALLI,BRDCC Bank Ltd.,117,YALIYURU VYAVASAYA SEVA SAHAKARA BYANK NI   
118,21,Bangalore Rural,7,DEVANHALLI,BRDCC Bank Ltd.,118,DODDASANNE VYAVASAYA SEVA SAHAKARA BYANK NI  
119,21,Bangalore Rural,7,DEVANHALLI,BRDCC Bank Ltd.,119,MANDIBELE VYAVASAYA SEVA SAHAKARA BYANK NI   
120,21,Bangalore Rural,7,DEVANHALLI,BRDCC Bank Ltd.,120,BUDIGERE VYAVASAYA SEVA SAHAKARA BYANK NI   
121,21,Bangalore Rural,7,DEVANHALLI,BRDCC Bank Ltd.,121,CHANNARAYAPATTANA RESHME BELEGARARA HAGU RAITARA SEVA SAHAKARA BYANK NI   
122,21,Bangalore Rural,7,DEVANHALLI,BRDCC Bank Ltd.,122,NALLURU RESHME BELEGARARA HAGU RAITARA SEVA SAHAKARA BYANK NI  
123,21,Bangalore Rural,9,HOSKOTE,BRDCC Bank Ltd.,123,ITTASANDRA VYAVASAYA SEVA SAHAKARA BYANK NI   
124,21,Bangalore Rural,9,HOSKOTE,BRDCC Bank Ltd.,124,GANAGALURU VYAVASAYA SEVA SAHAKARA BYANK NI   
125,21,Bangalore Rural,9,HOSKOTE,BRDCC Bank Ltd.,125,MUTSANDRA VYAVASAYA SEVA SAHAKARA BYANK NI   
126,21,Bangalore Rural,9,HOSKOTE,BRDCC Bank Ltd.,126,MUTKURU VYAVASAYA SEVA SAHAKARA BYANK NI   
127,21,Bangalore Rural,9,HOSKOTE,BRDCC Bank Ltd.,127,JADIGENAHALLI RESHME BELEGARARA HAGU RAITARA SEVA SAHAKARA BYANK NI   
128,21,Bangalore Rural,9,HOSKOTE,BRDCC Bank Ltd.,128,HOSAKOTE TOWN RESHME BELEGARARA HAGU RAITARA SEVA SAHAKARA BYANK NI  
129,21,Bangalore Rural,9,HOSKOTE,BRDCC Bank Ltd.,129,SULIBELE RESHME BELEGARARA HAGU RAITARA SEVA SAHAKARA BYANK NI   
130,21,Bangalore Rural,9,HOSKOTE,BRDCC Bank Ltd.,130,SHIVANAPURA RESHME BELEGARARA HAGU RAITARA SEVA SAHAKARA BYANK NI   
131,21,Bangalore Rural,9,HOSKOTE,BRDCC Bank Ltd.,131,NELAVAGILU RESHME BELEGARARA HAGU RAITARA SEVA SAHAKARA BYANK NI   
132,20,Bangalore Urban,3,BANGALORE SOUTH,BRDCC Bank Ltd.,132,BIDARAHALLI RAITARA SEVA SAHAKARA BYANK NI   
133,20,Bangalore Urban,3,BANGALORE SOUTH,BRDCC Bank Ltd.,133,PANATTURU VYAVASAYA SEVA SAHAKARA BYANK NI   
134,20,Bangalore Urban,371,Anekal,BRDCC Bank Ltd.,134,SARJAPURA RESHME BELEGARARA HAGU RAITARA SEVA SAHAKARA BYANK NI  
135,20,Bangalore Urban,371,Anekal,BRDCC Bank Ltd.,135,ATTIBELE SINDIKET RAITARA SEVA SAHAKARA BYANK NI   
136,20,Bangalore Urban,371,Anekal,BRDCC Bank Ltd.,136,KALLUBALU VYAVASAYA SEVA SAHAKARA BYANK NI  
